Influencer_profile_url,num_follower,num_contents,cost,view,save,like,comment,share
https://www.tiktok.com/@edwardzo,"2,100,000",4,"\66,700,000","12,847,800","394,463","838,302.00","2,381.00","19,645.00"
https://www.tiktok.com/@charinecheungg,"23,500",3,"\10,350,000","3,384,800","91,180","218,436.00","1,678.00","3,693.00"
https://www.tiktok.com/@xthuyle,"1,100,000",2,"\9,775,000","3,223,700","75,682","224,472.00","1,071.00","2,205.00"
https://www.tiktok.com/@beauthuy,"53,000",7,"\30,187,500","3,354,800","38,835","117,329.00",560,"1,763.00"
https://www.tiktok.com/@nikimoraleso,"36,900",3,"\862,500","1,348,287","38,741","96,559.00",893,"2,507.00"
https://www.tiktok.com/@adelinehkim,"725,300",6,"\27,600,000","1,837,800","38,657","226,700.00",399,586
https://www.tiktok.com/@jasminnlily_,"169,000",2,"\6,900,000","3,800,000","35,700","218,300.00",895,"2,306.00"
https://www.tiktok.com/@rachelheheh,"651,400",5,"\23,000,000","1,373,100","17,842","227,800.00",354,355
https://www.tiktok.com/@caspertheghostyy,"150,600",5,"\2,875,000","1,896,900","16,700","151,191.00",365,802
https://www.tiktok.com/@porojin,"1,500,000",4,"\27,600,000","2,991,800","14,935","250,661.00",840,214
https://www.tiktok.com/@_lilyis,"196,200",3,"\12,650,000","686,400","12,656","44,038.00",199,297
https://www.tiktok.com/@euniunni,"15,300",8,"\7,227,750","393,928","10,967","19,408.00",95,"1,174.00"
https://www.tiktok.com/@mehditowear,"92,700",3,"\12,075,000","369,770","7,174","22,511.00",114,313
https://www.tiktok.com/@jpbrinx,"1,800,000",3,"\22,045,500","1,146,800","6,178","131,200.00",295,254
https://www.tiktok.com/@monakoaa,"820,900",2,"\3,450,000","353,300","4,253","25,867.00",70,193
https://www.tiktok.com/@sissel_ab,"107,400",6,"\9,118,350","687,600","3,873","104,728.00",142,71
https://www.tiktok.com/@skincarestan,"86,400",2,"\1,380,000","219,900","3,615","9,696.00",111,138
https://www.tiktok.com/@ban.di,"696,900",1,"\374,900","238,600","3,478","32,500.00",17,44
https://www.tiktok.com/@billzxbillzette,"729,500",1,"\2,300,000","1,100,000","3,309","64,900.00",308,481
https://www.tiktok.com/@rachelheheh ,"662,300",1,"\4,600,000","492,100","3,291","64,000.00",164,130
https://www.tiktok.com/@dr.farzan,"1,900,000",3,"\10,350,000","962,600","2,911","17,568.00",138,468
https://www.tiktok.com/@sunnydahye_,"1,800,000",1,"\4,600,000","181,100","2,367","19,500.00",89,59
https://www.tiktok.com/@frederic.chen,"569,000",4,"\33,925,000","144,400","1,984","23,506.00",83,62
https://www.tiktok.com/@valeriya.eros,"7,100,000",5,"\13,225,000","158,500","1,843","18,749.00",85,61
https://www.tiktok.com/@maru.lee,"728,000",1,"\6,900,000","354,900","1,842","33,200.00",86,63
https://www.tiktok.com/@claraify3,"175,000",2,"\2,300,000","121,600","1,812","12,931.00",83,31
https://www.tiktok.com/@tatlafata,"529,400",1,"\9,200,000","128,500","1,612","6,167.00",146,120
https://www.tiktok.com/@hi_imtiffanyyaa,"7,940",3,"\517,500","309,400","1,466","9,602.00",105,102
https://www.tiktok.com/@graceglazee,"305,000",1,"\2,300,000","59,000",911,"4,863.00",22,84
https://www.tiktok.com/@angelamaytrix,"108,300",3,"\690,000","93,100",878,"2,533.00",61,94
https://www.tiktok.com/@self.skin,"168,600",4,"\9,775,000","69,700",818,"3,012.00",94,69
https://www.tiktok.com/@mynameisrifah,"248,000",2,"\1,380,000","30,600",649,"1,168.00",17,20
https://www.tiktok.com/@maymyatnoe_may,"372,900",2,"\1,725,000","227,700",613,"16,306.00",58,45
https://www.tiktok.com/@mimi.alxt,"252,200",2,"\632,500","245,300",551,"4,829.00",22,31
https://www.tiktok.com/@neikks,"179,100",1,"\690,000","253,000",539,"10,900.00",45,17
https://www.tiktok.com/@priscillathachh,"90,200",5,"\5,175,000","63,137",452,"1,383.00",18,31
https://www.tiktok.com/@priscillasdailydump,"19,400",1,"\690,000","72,600",449,"1,552.00",30,64
https://www.tiktok.com/@np.miranda,"229,000",1,"\2,875,000","39,800",366,675,7,15
https://www.tiktok.com/@alessa.miki,"740,200",1,"\11,500,000","70,600",317,"5,074.00",16,43
https://www.tiktok.com/@via..li,"490,500",1,"\3,450,000","42,000",299,"2,846.00",26,8
https://www.tiktok.com/@pamperplace,"103,900",1,"\6,325,000","69,000",288,"2,392.00",20,11
https://www.tiktok.com/@emchu_,"2,973",1,"\862,500","17,900",196,"1,293.00",27,13
https://www.tiktok.com/@les.talk.skin,"33,600",3,"\6,900,000","28,930",189,"1,157.00",27,3
https://www.tiktok.com/@_skincaretips101_,"61,400",1,"\258,750","18,700",167,433,9,4
https://www.tiktok.com/@christxiee,"1,300,000",1,"\8,625,000","32,700",156,"2,734.00",14,6
https://www.tiktok.com/@thenotoriousnef,"23,200",2,"\2,760,000","41,626",151,978,42,6
https://www.tiktok.com/@aselbbh,"440,100",1,"\575,000","26,400",147,973,7,2
https://www.tiktok.com/@kileekearns,"24,600",2,"\2,070,000","88,356",132,838,40,9
https://www.tiktok.com/@daynasworld,"27,900",1,"\2,875,000","14,500",124,375,6,5
https://www.tiktok.com/@biancapompeiano,"57,600",1,"\1,725,000","14,300",117,704,4,4
https://www.tiktok.com/@tara_haki,"164,900",1,"\2,300,000","47,300",105,985,9,6
https://www.tiktok.com/@carla.x33,"131,400",1,"\1,380,000","16,554",104,488,16,10
https://www.tiktok.com/@darcybylauren,"53,200",3,"\6,900,000","11,536",102,680,5,1
https://www.tiktok.com/@skinbyzoiea,"99,000",4,"\1,725,000","13,513",89,658,7,2
https://www.tiktok.com/@lihtrag.0903,"40,200",1,"\255,300","28,800",86,510,30,13
https://www.tiktok.com/@allofsherry,"61,200",1,"\2,875,000","7,771",80,205,7,5
https://www.tiktok.com/@claudinejay_,"79,400",1,"\3,450,000","7,791",79,372,9,5
https://www.tiktok.com/@lucyisdewy,"4,080",2,"\2,070,000","9,391",78,226,6,8
https://www.tiktok.com/@karlacelis_,"30,500",1,"\575,000","4,857",68,154,6,3
https://www.tiktok.com/@irenebish,"310,700",1,"\345,000","15,400",68,832,9,8
https://www.tiktok.com/@avanevajett,"301,300",1,"\1,380,000","55,200",63,"2,935.00",19,1
https://www.tiktok.com/@jazmin.chuafinds,"57,300",1,"\120,750","8,895",59,271,8,25
https://www.tiktok.com/@belicia.arnold,"103,800",1,"\1,983,750","4,739",55,442,0,1
https://www.tiktok.com/@stephaniesshin,"12,400",1,"\575,000","6,164",51,344,3,3
https://www.tiktok.com/@soylaurakool,"6,300,000",1,"\5,750,000","22,500",50,683,7,3
https://www.tiktok.com/@jenn_hilbert,"91,600",1,"\2,875,000","36,500",50,721,3,2
https://www.tiktok.com/@Domm.Baccigalupi,"1,200,000",1,"\5,750,000","12,900",39,424,22,1
https://www.tiktok.com/@after.law,"105,100",1,"\1,380,000","8,399",35,308,5,1
https://www.tiktok.com/@iirixle,361,4,"\460,000","5,048",33,337,12,2
https://www.tiktok.com/@sorayaskincares,"575,000",1,"\5,750,000","15,800",32,729,11,0
https://www.tiktok.com/@ssoul_korean,"12,400",1,"\345,000","4,164",31,98,3,1
https://www.tiktok.com/@kylei.ann,"101,700",1,"\3,450,000","6,197",29,309,3,3
https://www.tiktok.com/@ashley_vences,"244,200",1,"\1,380,000","16,700",29,"1,782.00",4,0
https://www.tiktok.com/@mirela.nova,"29,100",1,"\690,000","1,744",27,71,1,2
https://www.tiktok.com/@angelicasong,"211,000",1,"\4,025,000","3,892",23,112,2,2
https://www.tiktok.com/@alicexliuu,"1,507",3,"\172,500","5,707",19,150,5,8
https://www.tiktok.com/@sanne_vander,"26,100",2,"\690,000","1,311",17,104,0,3
https://www.tiktok.com/@carolkchang,"14,900",2,"\7,130,000","2,038",17,142,3,1
https://www.tiktok.com/@unpretty_00,"34,400",1,"\103,500","2,110",14,211,1,0
https://www.tiktok.com/@gabrielavillarrealdavis,"95,100",1,"\1,380,000","2,919",13,50,4,0
https://www.tiktok.com/@tchaoskin,"18,200",1,"\2,875,000","1,777",12,56,12,3
https://www.tiktok.com/@rali_zabeth,"50,400",1,"\2,875,000","3,075",12,70,1,1
https://www.tiktok.com/@allisnku,"6,760",1,"\2,875,000","2,163",12,118,5,0
https://www.tiktok.com/@jungwonjo,"15,900",1,"\287,500","1,571",11,83,3,0
https://www.tiktok.com/@valerieeve1,"338,000",1,"\5,750,000","2,802",10,159,8,0
https://www.tiktok.com/@lillischaub,"78,300",1,"\2,875,000","3,256",9,92,3,0
https://www.tiktok.com/@typicalbreann,"60,900",1,"\1,915,900",957,8,48,0,0
https://www.tiktok.com/@simplysashafierce,"76,000",1,"\2,875,000","4,204",8,91,4,0
https://www.tiktok.com/@kellysalpeter,"1,400,000",1,"\5,750,000","2,024",8,117,2,3
https://www.tiktok.com/@taylorherrera111,"174,800",1,"\1,915,900","1,505",6,137,0,0
https://www.tiktok.com/@jawsolyn,"56,400",1,"\1,380,000","1,209",4,44,17,2
https://www.tiktok.com/@itsvalenzz,"33,600",1,"\1,380,000",540,4,17,4,0
https://www.tiktok.com/@andie_sorto,"1,442",1,"\1,380,000",541,4,81,19,4
https://www.tiktok.com/@pauulinaperez,"88,500",1,"\1,380,000","5,800",3,155,4,0
https://www.tiktok.com/@jessicasbeautyblog,"6,011",1,"\1,380,000",276,3,16,12,0
https://www.tiktok.com/@glamsoul101,"3,684",1,"\2,875,000","12,000",3,340,7,0
https://www.tiktok.com/@abbyjahaira,"68,800",1,"\1,380,000","1,208",3,101,6,0
https://www.tiktok.com/@valerienunez_,"96,600",1,"\1,380,000","2,689",2,85,2,0
https://www.tiktok.com/@tarynitupppp,"35,500",1,"\1,380,000",793,2,28,4,0
https://www.tiktok.com/@liv.reese,"64,099",1,"\1,380,000",887,2,31,1,1
https://www.tiktok.com/@kaseyma,"11,600",1,"\1,380,000",543,2,33,3,0
https://www.tiktok.com/@eferssurface,366,2,"\115,000",601,2,20,0,2
https://www.tiktok.com/@pao.la.mtz,"13,800",1,"\1,380,000",365,1,19,1,0
https://www.tiktok.com/@kilennyk,"1,156",1,"\1,380,000",323,1,17,2,0
https://www.tiktok.com/@justpamk_,"1,220",1,"\1,380,000",309,1,11,2,0
https://www.tiktok.com/@daisyquezchez,"11,300",1,"\1,380,000",463,1,16,0,0
https://www.tiktok.com/@alexandrajanthony,"26,300",1,"\1,380,000",574,1,29,5,0
https://www.tiktok.com/@veronicaisolee,"2,371",1,"\1,380,000",260,0,11,0,0
https://www.tiktok.com/@maya.j.s,"1,928",1,"\1,380,000",429,0,17,10,0
https://www.tiktok.com/@iellenahh,"26,100",1,"\7,130,000","27,200",0,892,0,0
https://www.tiktok.com/@adoredonnie,"17,100",1,"\1,380,000",343,0,9,0,0
